0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,labels
-4.0,-4.0,-3.087061868849541e-17,-2.80400496457308e-17,1.812312024817546e-17,2.2044371596344313e-17,-3.399263654828695e-17,4.1281371603022455e-17,5.047066661166185e-17,3.087061868849541e-17,2.80400496457308e-17,-1.812312024817546e-17,-2.2044371596344313e-17,3.399263654828695e-17,-4.1281371603022455e-17,-5.047066661166185e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.0061326418223466e-20,-4.0061326418223466e-20,1.0,1.0,2
-4.0,-3.9000000953674316,-7.56958537200992e-17,-1.6994050144903855e-17,-1.836670591341824e-18,7.257061316464115e-17,-2.978667459636102e-18,-4.75965250029504e-17,-4.4930270425785774e-17,7.56958537200992e-17,1.6994050144903855e-17,1.836670591341824e-18,-7.257061316464115e-17,2.978667459636102e-18,4.75965250029504e-17,4.4930270425785774e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.503824439503242e-20,9.503824439503242e-20,1.0,1.0,2
-4.0,-3.799999952316284,-4.0096799335009766e-17,1.5623251396864652e-17,1.1391961174582349e-17,6.94986810909397e-18,-1.3798994718565718e-17,-2.7490541157102636e-18,1.6470557313721095e-17,4.0096799335009766e-17,-1.5623251396864652e-17,-1.1391961174582349e-17,-6.94986810909397e-18,1.3798994718565718e-17,2.7490541157102636e-18,-1.6470557313721095e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.614040340190696e-19,4.614040340190696e-19,1.0,1.0,2
-4.0,-3.700000047683716,-8.024699979600473e-18,-1.512383117586841e-17,-1.918121329180634e-17,2.9297853867734034e-17,-1.4662809299292341e-18,1.1001918218803382e-17,-1.1835951195550799e-17,8.024699979600473e-18,1.512383117586841e-17,1.918121329180634e-17,-2.9297853867734034e-17,1.4662809299292341e-18,-1.1001918218803382e-17,1.1835951195550799e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.87185841746919e-19,-5.87185841746919e-19,1.0,1.0,2
-4.0,-3.5999999046325684,-3.7235760267201155e-17,6.573393231466587e-17,-3.152546449222914e-17,-6.038016461859401e-18,-1.838558300217731e-17,2.7050715163337777e-17,1.4436589670624655e-17,3.7235760267201155e-17,-6.573393231466587e-17,3.152546449222914e-17,6.038016461859401e-18,1.838558300217731e-17,-2.7050715163337777e-17,-1.4436589670624655e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7141822807710368e-19,1.7141822807710368e-19,1.0,1.0,2
-4.0,-3.5,4.318516748748265e-17,-3.7290506388862365e-17,-3.186600482424987e-17,3.155172913103892e-17,-1.3265502100957805e-17,-5.647799963587921e-17,5.87942972569298e-17,-4.318516748748265e-17,3.7290506388862365e-17,3.186600482424987e-17,-3.155172913103892e-17,1.3265502100957805e-17,5.647799963587921e-17,-5.87942972569298e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.690950205872737e-20,7.690950205872737e-20,1.0,1.0,2
-4.0,-3.4000000953674316,1.3014298102273414e-17,-5.53791423044811e-18,-5.3367661566336915e-17,1.0021874132742188e-16,-8.147207578989169e-17,4.54696682857867e-17,2.6101752057921018e-17,-1.3014298102273414e-17,5.53791423044811e-18,5.3367661566336915e-17,-1.0021874132742188e-16,8.147207578989169e-17,-4.54696682857867e-17,-2.6101752057921018e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.551276299268139e-20,-5.551276299268139e-20,1.0,1.0,2
-4.0,-3.299999952316284,-3.840752116188662e-17,1.958710089221876e-17,-5.338751886412186e-18,-5.058235088360753e-18,-3.029506972700346e-17,-1.1245825657304443e-17,-6.299660637927069e-17,3.840752116188662e-17,-1.958710089221876e-17,5.338751886412186e-18,5.058235088360753e-18,3.029506972700346e-17,1.1245825657304443e-17,6.299660637927069e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.210717963144388e-20,5.210717963144388e-20,1.0,1.0,2
-4.0,-3.200000047683716,2.088915464478215e-16,-4.84093060554001e-17,-1.1091215054265472e-19,2.9283394750626607e-17,2.5737675128750703e-17,7.864618714182806e-19,9.504354041890429e-18,-2.088915464478215e-16,4.84093060554001e-17,1.1091215054265472e-19,-2.9283394750626607e-17,-2.5737675128750703e-17,-7.864618714182806e-19,-9.504354041890429e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.151653003412598e-20,7.151653003412598e-20,1.0,1.0,2
-4.0,-3.0999999046325684,1.025871314747286e-16,9.733674150289117e-18,-7.591382573767427e-17,9.680392965492739e-18,-1.0147757125338467e-16,4.190275298789474e-17,1.1488887551783353e-16,-1.025871314747286e-16,-9.733674150289117e-18,7.591382573767427e-17,-9.680392965492739e-18,1.0147757125338467e-16,-4.190275298789474e-17,-1.1488887551783353e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9.385825347976705e-21,-9.385825347976705e-21,1.0,1.0,2
-4.0,-3.0,-7.126661421414928e-18,7.627290980466722e-18,-1.6258016564048045e-17,-7.041043264932014e-18,2.713484935780177e-17,3.3747195516930215e-17,-6.13879146229643e-18,7.126661421414928e-18,-7.627290980466722e-18,1.6258016564048045e-17,7.041043264932014e-18,-2.713484935780177e-17,-3.3747195516930215e-17,6.13879146229643e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.392068911393543e-20,5.392068911393543e-20,1.0,1.0,2
-4.0,-2.9000000953674316,4.554027973159668e-18,-3.04703592249708e-17,-8.99199423457202e-18,3.241140470677548e-17,-9.43633477332504e-19,2.0466585789264742e-17,4.233786653370988e-18,-4.554027973159668e-18,3.04703592249708e-17,8.99199423457202e-18,-3.241140470677548e-17,9.43633477332504e-19,-2.0466585789264742e-17,-4.233786653370988e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.8835034073943096e-20,4.8835034073943096e-20,1.0,1.0,2
-4.0,-2.799999952316284,1.0546385388695122e-16,1.1827312948413908e-17,2.393217807956386e-17,4.411630485069889e-18,-2.2593409419203935e-17,2.1756067720006306e-17,-2.2148998363303695e-17,-1.0546385388695122e-16,-1.1827312948413908e-17,-2.393217807956386e-17,-4.411630485069889e-18,2.2593409419203935e-17,-2.1756067720006306e-17,2.2148998363303695e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.2929407805878714e-20,-2.2929407805878714e-20,1.0,1.0,2
-4.0,-2.700000047683716,-8.041888958165448e-17,-3.455157903180128e-17,5.087258788103708e-18,-1.2205125377091788e-16,3.4177256643563885e-17,3.349752593828211e-17,-3.792160880029337e-17,8.041888958165448e-17,3.455157903180128e-17,-5.087258788103708e-18,1.2205125377091788e-16,-3.4177256643563885e-17,-3.349752593828211e-17,3.792160880029337e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.424097585895136e-21,3.424097585895136e-21,1.0,1.0,2
-4.0,-2.5999999046325684,-3.6177677149737625e-17,1.2258867963233848e-17,-2.293438815694932e-17,4.5458591510204005e-18,-2.772401908885032e-18,4.71180688473987e-18,-2.298211978701608e-17,3.6177677149737625e-17,-1.2258867963233848e-17,2.293438815694932e-17,-4.5458591510204005e-18,2.772401908885032e-18,-4.71180688473987e-18,2.298211978701608e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.143352921625899e-20,-2.143352921625899e-20,1.0,1.0,2
-4.0,-2.5,-3.7336398369246807e-17,1.8114678042843744e-17,5.804326358284595e-19,-3.241519815706465e-18,-4.851209482703839e-17,1.5597416891973396e-17,-5.3021979479628555e-18,3.7336398369246807e-17,-1.8114678042843744e-17,-5.804326358284595e-19,3.241519815706465e-18,4.851209482703839e-17,-1.5597416891973396e-17,5.3021979479628555e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.6023335638655481e-21,-1.6023335638655481e-21,1.0,1.0,2
-4.0,-2.4000000953674316,-1.725048771532387e-17,-2.3208315634241154e-17,-6.280533575186883e-17,-1.3263959409115394e-17,-9.185610746191083e-18,-1.3470105225472797e-17,-4.389308189059533e-17,1.725048771532387e-17,2.3208315634241154e-17,6.280533575186883e-17,1.3263959409115394e-17,9.185610746191083e-18,1.3470105225472797e-17,4.389308189059533e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7.033985268807223e-21,-7.033985268807223e-21,1.0,1.0,2
-4.0,-2.299999952316284,-5.036239859564601e-17,3.0326347080325317e-17,2.6102670641991258e-18,-4.096071338420505e-17,-3.00835232484267e-17,-1.8622477603445147e-17,-3.991625227706904e-17,5.036239859564601e-17,-3.0326347080325317e-17,-2.6102670641991258e-18,4.096071338420505e-17,3.00835232484267e-17,1.8622477603445147e-17,3.991625227706904e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9764095370987283e-21,1.9764095370987283e-21,1.0,1.0,2
-4.0,-2.200000047683716,1.0970120238003986e-16,-3.6842197657915775e-17,-1.5439528792552337e-18,3.370158477795404e-17,3.708340683325869e-17,4.614689428817367e-17,-4.143324527220964e-17,-1.0970120238003986e-16,3.6842197657915775e-17,1.5439528792552337e-18,-3.370158477795404e-17,-3.708340683325869e-17,-4.614689428817367e-17,4.143324527220964e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.227675278215559e-21,4.227675278215559e-21,1.0,1.0,2
-4.0,-2.0999999046325684,1.7610934645094056e-16,-7.012872305682541e-17,-5.3792432045772696e-17,-2.9037229109053276e-17,2.1135012244295367e-17,-1.649518392812287e-18,-1.52831643598196e-17,-1.7610934645094056e-16,7.012872305682541e-17,5.3792432045772696e-17,2.9037229109053276e-17,-2.1135012244295367e-17,1.649518392812287e-18,1.52831643598196e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.2665955800645994e-21,-4.2665955800645994e-21,1.0,1.0,2
-4.0,-2.0,4.3179818007063694e-19,3.378223157895551e-17,-5.327338944628547e-17,-9.384654389809105e-18,-4.180232498972468e-18,1.4881674051543512e-17,-5.622163982043677e-17,-4.3179818007063694e-19,-3.378223157895551e-17,5.327338944628547e-17,9.384654389809105e-18,4.180232498972468e-18,-1.4881674051543512e-17,5.622163982043677e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5719561030785876e-20,1.5719561030785876e-20,1.0,1.0,2
-4.0,-1.899999976158142,-1.0226208919866467e-16,4.1340485238317945e-17,-1.8511724736869197e-17,2.426733884247085e-18,8.019539199758755e-18,2.5693061969593268e-17,7.429758595827834e-18,1.0226208919866467e-16,-4.1340485238317945e-17,1.8511724736869197e-17,-2.426733884247085e-18,-8.019539199758755e-18,-2.5693061969593268e-17,-7.429758595827834e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.900703432697871e-21,-4.900703432697871e-21,1.0,1.0,2
-4.0,-1.7999999523162842,3.7726195652383845e-17,-5.472421791858918e-17,7.209862556147962e-18,4.7906433182527065e-17,-3.821139994737275e-17,3.473936226574062e-17,-4.062816030817913e-17,-3.7726195652383845e-17,5.472421791858918e-17,-7.209862556147962e-18,-4.7906433182527065e-17,3.821139994737275e-17,-3.473936226574062e-17,4.062816030817913e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.3015382400347152e-20,-1.3015382400347152e-20,1.0,1.0,2
