0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,labels
-1.5,0.512499988079071,-5.670491711547068e-16,-3.816663491785485e-16,9.775591362394119e-17,-6.56937313368958e-17,-7.469141822844341e-17,2.79397735179212e-16,3.116933544525648e-16,2.391517852535916e-16,2.9394270039933215e-17,-1.748277326621856e-16,-4.343908149528989e-16,8.822049315978511e-17,1.1214196752222253e-17,-2.708194619454533e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.750235886541494e-20,1.373435664122702e-20,1.0,1.0,2
-1.5,0.5249999761581421,-2.976012937788746e-16,1.0844953517643728e-15,-9.003976772925464e-17,3.4013005043690456e-17,3.329143355779228e-16,-1.532918140991266e-16,1.8908178838703818e-16,-1.2489801239263138e-16,-2.4122322086971423e-17,-2.8105949470771675e-17,-2.1331725389255583e-16,3.62680793880113e-16,-2.9787845884108395e-17,7.50828665640831e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0386243914868619e-19,5.2488610060233124e-20,1.0,1.0,2
-1.5,0.5375000238418579,7.44916706541241e-17,-1.8327982445658303e-16,1.745017837961703e-16,-1.6217564123371752e-16,-3.1409202602773585e-17,-2.223110232567224e-16,-1.798695242271494e-16,1.2346067689047964e-16,1.3223244421312676e-16,2.3794230161425125e-16,1.198928020630771e-16,-1.7247923455424954e-17,-1.8915974188796517e-16,-1.4840270022290538e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.343362222215425e-21,-4.135862673086791e-20,1.0,1.0,2
-1.5,0.550000011920929,-2.3378495803000874e-16,-3.9851394037855494e-16,1.2493534801675957e-16,-4.67051121614714e-17,6.048453826828595e-17,8.187996185866404e-17,4.868665442083321e-16,1.1467525777900293e-17,-2.0958837663072598e-16,4.795037963411078e-17,2.851301629986535e-16,-2.0366662371268336e-16,-1.4664782000976188e-16,-1.5972524109175983e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4247111685781863e-20,-8.237629349065058e-20,1.0,1.0,2
-1.5,0.5625,-2.655781544167417e-16,2.698714467890185e-16,-2.7499776959514035e-16,2.561175904892992e-16,-7.291849389741768e-18,-2.2987400508046617e-17,1.1512989609599678e-16,2.655781544167417e-16,-2.698714467890185e-16,2.7499776959514035e-16,-2.561175904892992e-16,7.291849389741768e-18,2.2987400508046617e-17,-1.1512989609599678e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2325229916591154e-20,2.2325229916591154e-20,1.0,1.0,2
-1.5,0.574999988079071,2.229677649584201e-16,-3.670824270602996e-16,1.0175899133266502e-16,8.925423069745998e-17,-7.43574887238782e-17,1.1095078111803187e-16,-1.1270869212093976e-16,-2.4122738655127905e-16,2.367873986604496e-16,3.367399003271927e-17,-4.046360562932926e-16,1.172406360261055e-16,-4.9894405447662494e-18,3.759771134219721e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.157007059174319e-20,2.0320998757356444e-20,1.0,1.0,2
-1.5,0.5874999761581421,-3.535616636397528e-16,2.1106069194662137e-16,-3.7129627204346314e-18,1.927651376279531e-16,-1.190814106740565e-16,-5.248264448535418e-17,1.7773024987463007e-16,1.0145705717419336e-16,4.1680561687451156e-16,-1.0579234385180828e-16,7.674369303285687e-17,2.943910984657849e-17,3.475164093475336e-17,-1.2059251745195817e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7621732002253546e-20,1.012602355703452e-20,1.0,1.0,2
-1.5,0.6000000238418579,-4.3028286397739314e-16,-2.6444826540466366e-16,6.709897884872538e-17,-5.46658547015454e-16,1.4005103477231679e-16,5.2939615451675425e-17,1.9938148403252385e-16,-5.071036965654543e-16,5.824442150010966e-18,-8.735601001032839e-17,-1.0411701194381278e-16,-6.23009474841136e-17,1.763579506209597e-16,-2.351245141663118e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.3821532753619586e-19,-2.908116617730692e-20,1.0,1.0,2
-1.5,0.612500011920929,1.6864873319108388e-16,-2.9972856408634456e-17,-1.9773723591758687e-18,-2.851850414692127e-17,9.687107521397077e-17,2.4583430610716658e-17,-2.687184761291278e-16,-2.0886436198417057e-16,-6.841837163041686e-17,-1.442365686718351e-16,-3.577669175250744e-16,-4.67050658393571e-17,-2.7995817982271875e-16,-7.908607000426003e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.2177423080885585e-20,-8.794473766503832e-20,1.0,1.0,2
-1.5,0.625,5.272984972752137e-16,-4.857954181069699e-16,2.9868639592386655e-16,-2.6834935505258214e-16,1.0206803262695973e-16,-9.425863369873639e-17,6.682675701785663e-17,-5.272984972752137e-16,4.857954181069699e-16,-2.9868639592386655e-16,2.6834935505258214e-16,-1.0206803262695973e-16,9.425863369873639e-17,-6.682675701785663e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.274078108406268e-21,-6.274078108406268e-21,1.0,1.0,2
-1.5,0.637499988079071,-4.124965749833717e-16,-4.366734761015206e-17,1.10002772579042e-16,1.473702464695412e-16,1.9299044839192275e-16,4.143434376806311e-17,2.586847885337494e-16,-2.4078899406151575e-16,3.834051953226983e-17,-3.465154612493403e-16,3.397597646900564e-16,-2.013365221015705e-17,8.403683861461851e-17,4.1820302933157904e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.400930375088466e-20,6.177843641292036e-20,1.0,1.0,2
